date,ticker,open,high,low,close,volume
3/30/2023,FPT,34.57,35.08,34.23,34.49,2157690
3/31/2023,FPT,35.51,36.19,34.23,35.08,1663050
4/1/2023,FPT,34.83,36.88,34.83,36.11,1453030
4/3/2023,FPT,36.7,38.11,36.45,38.07,2072000
4/6/2023,FPT,39.27,40.55,38.84,40.55,2718990
4/7/2023,FPT,40.55,40.72,39.69,40.38,2463810
4/8/2023,FPT,39.35,40.16,39.05,39.99,1576670
4/9/2023,FPT,40.12,40.63,39.69,39.99,2142370
4/10/2023,FPT,39.78,40.12,39.18,39.61,1882023
4/13/2023,FPT,39.61,40.12,39.35,39.69,1255360
4/14/2023,FPT,40.63,42.25,40.12,42.25,4072050
4/15/2023,FPT,43.11,43.36,42.55,42.77,2205200
4/16/2023,FPT,42.42,43.36,42.08,42.94,1508480
4/17/2023,FPT,43.7,43.79,42.85,43.7,2631630
4/20/2023,FPT,44.3,44.39,43.28,43.79,2239780
4/21/2023,FPT,43.11,43.45,41.74,42.08,3737050
4/22/2023,FPT,41.66,43.7,41.57,43.62,2445860
4/23/2023,FPT,44.47,44.56,43.53,43.53,1363410
4/24/2023,FPT,43.45,43.7,42.77,43.53,1411380
4/27/2023,FPT,43.96,43.96,43.11,43.28,1419750
4/28/2023,FPT,43.28,43.36,42.85,43.28,974310
4/29/2023,FPT,43.36,43.88,43.11,43.36,1349230
5/4/2023,FPT,42.85,43.45,42.68,43.11,895530
5/5/2023,FPT,43.36,43.53,43.02,43.45,677990
5/6/2023,FPT,43.53,45.33,43.53,45.16,3470150
5/7/2023,FPT,45.24,45.67,44.73,45.67,2030720
5/8/2023,FPT,45.75,47.03,45.75,45.84,3585320
5/11/2023,FPT,46.09,46.44,45.5,46.09,2119430
5/12/2023,FPT,46.09,46.44,45.75,46.44,2828190
5/13/2023,FPT,47.5,49.55,47.4,49.35,6853810
5/14/2023,FPT,48.95,49.1,48.5,48.7,2597400
5/15/2023,FPT,48.3,48.9,47.75,48,2430890
5/18/2023,FPT,47.5,48.35,47.4,48.35,2000950
5/19/2023,FPT,49.2,49.6,48.6,49.25,2879030
5/20/2023,FPT,49,49,48.55,48.9,1245380
5/21/2023,FPT,48.9,49.3,48.85,49.3,2007060
5/22/2023,FPT,49,49,48.45,48.45,1731720
5/25/2023,FPT,48.45,48.6,47.8,48.45,2033000
5/26/2023,FPT,48.5,48.8,48.35,48.8,1615680
5/27/2023,FPT,48.9,49.4,48,48,2098580
5/28/2023,FPT,48.2,48.6,48,48,1194380
5/29/2023,FPT,48,48.1,47.5,47.95,1346170
6/1/2023,FPT,48,48.35,48,48.3,1298150
6/2/2023,FPT,48.3,48.4,48,48,1456730
6/3/2023,FPT,48,48.95,47.9,48.65,1893060
6/4/2023,FPT,48.9,48.9,48.4,48.4,1260060
6/5/2023,FPT,48.4,48.7,48.15,48.7,1236200
6/8/2023,FPT,49,50,49,49.35,4113250
6/9/2023,FPT,49.6,49.6,48.9,48.95,1491540
6/10/2023,FPT,49,49,48.45,48.8,1307540
6/11/2023,FPT,48.8,48.8,46,46,4278060
6/12/2023,FPT,45,47,45,47,3145450
6/15/2023,FPT,48,48,45.9,46,1207500
6/16/2023,FPT,46.6,46.8,46.3,46.6,1100730
6/17/2023,FPT,46.7,46.75,46.25,46.35,788630
6/18/2023,FPT,46.3,46.7,46.15,46.6,822980
6/19/2023,FPT,46.6,47,46.6,46.95,677340
6/22/2023,FPT,47,47,46.85,47,787180
6/23/2023,FPT,46.95,48.4,46.75,47.55,1693730
6/24/2023,FPT,47.9,47.95,47.05,47.2,607000
6/25/2023,FPT,46.65,47.1,46.6,46.8,730810
6/26/2023,FPT,46.8,47.15,46.7,46.85,602880
6/29/2023,FPT,46.6,46.6,45.85,46.05,1281220
6/30/2023,FPT,46.15,46.4,45.4,45.65,1594210
7/1/2023,FPT,46,46.3,45.8,46.2,866660
7/2/2023,FPT,46.3,46.3,45.95,46.15,539160
7/3/2023,FPT,46.5,46.5,46.1,46.25,529760
7/6/2023,FPT,46.5,46.95,46.3,46.8,1089910
7/7/2023,FPT,47,47.9,47,47.45,2739150
7/8/2023,FPT,47.3,47.9,47.3,47.7,1472610
